"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Groshev M.; Guimaraes C.; Martin-Perez J.; De La Oliva A.","Groshev, Milan (57206656579); Guimaraes, Carlos (50061248400); Martin-Perez, Jorge (57202092513); De La Oliva, Antonio (14524378400)","57206656579; 50061248400; 57202092513; 14524378400","Toward Intelligent Cyber-Physical Systems: Digital Twin Meets Artificial Intelligence","2021","IEEE Communications Magazine","59","8","9530501","14","20","6","28","10.1109/MCOM.001.2001237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114809478&doi=10.1109%2fMCOM.001.2001237&partnerID=40&md5=dd0217fcb247f3dad3a5709b58c92246","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85114809478"
"Xu W.; Cui J.; Li L.; Yao B.; Tian S.; Zhou Z.","Xu, Wenjun (57221159460); Cui, Jia (57218280689); Li, Lan (57196181887); Yao, Bitao (56405052900); Tian, Sisi (55973308900); Zhou, Zude (55538054700)","57221159460; 57218280689; 57196181887; 56405052900; 55973308900; 55538054700","Digital twin-based industrial cloud robotics: Framework, control approach and implementation","2021","Journal of Manufacturing Systems","58","","","196","209","13","36","10.1016/j.jmsy.2020.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088562007&doi=10.1016%2fj.jmsy.2020.07.013&partnerID=40&md5=e81ca3039a9cdd217d1d0656ecff669f","Article","Final","","Scopus","2-s2.0-85088562007"
"Park Y.-K.; Park J.; Kim S.; Lee D.; Lee S.; Um J.","Park, Yong-Keun (57208816947); Park, Joungmin (57219804384); Kim, Sujong (58155154800); Lee, Dongyoon (55658540000); Lee, Sangyoon (57254778000); Um, Jumyung (24478065300)","57208816947; 57219804384; 58155154800; 55658540000; 57254778000; 24478065300","Development of Digital twin for Plug-and-Produce of a Machine tending system through ISO 21919 interface","2023","International Journal of Computer Integrated Manufacturing","","","","","","","0","10.1080/0951192X.2023.2189306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150788382&doi=10.1080%2f0951192X.2023.2189306&partnerID=40&md5=4131a9e742d908a422f8cbb09a6c3194","Article","Article in press","","Scopus","2-s2.0-85150788382"
"Santos C.F.; Kurscheidt Netto R.J.; Kondo R.E.; Loures E.F.R.; Santos E.A.P.; Szejka A.L.","Santos, Cleiton Ferreira dos (58104787800); Kurscheidt Netto, Rolando Jacyr (57263761700); Kondo, Ricardo Eiji (55971662600); Loures, Eduardo de Freitas Rocha (57552654200); Santos, Eduardo Alves Portela (57217500301); Szejka, Anderson Luis (55504511100)","58104787800; 57263761700; 55971662600; 57552654200; 57217500301; 55504511100","A Hybrid Architecture of Digital Twin with Decision Support Layer for Industrial Maintenance","2023","Lecture Notes in Mechanical Engineering","","","","584","591","7","0","10.1007/978-3-031-17629-6_61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148224365&doi=10.1007%2f978-3-031-17629-6_61&partnerID=40&md5=271b69af82924559b07c7cf004137867","Conference paper","Final","","Scopus","2-s2.0-85148224365"
"Magnanini M.C.; Tolio T.A.M., (1)","Magnanini, Maria Chiara (57201987948); Tolio, Tullio A.M. (6701338382)","57201987948; 6701338382","A model-based Digital Twin to support responsive manufacturing systems","2021","CIRP Annals","70","1","","353","356","3","22","10.1016/j.cirp.2021.04.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107987654&doi=10.1016%2fj.cirp.2021.04.043&partnerID=40&md5=85aff49e4fb30fc8c9102e38ac4e5894","Article","Final","","Scopus","2-s2.0-85107987654"
"Azarmipour M.; Elfaham H.; Gries C.; Kleinert T.; Epple U.","Azarmipour, Mahyar (57195506578); Elfaham, Haitham (57193016254); Gries, Caspar (57205883458); Kleinert, Tobias (23389614200); Epple, Ulrich (6603863590)","57195506578; 57193016254; 57205883458; 23389614200; 6603863590","A Service-based Architecture for the Interaction of Control and MES Systems in Industry 4.0 Environment","2020","IEEE International Conference on Industrial Informatics (INDIN)","2020-July","","9442083","217","222","5","7","10.1109/INDIN45582.2020.9442083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111081066&doi=10.1109%2fINDIN45582.2020.9442083&partnerID=40&md5=d59bdd8c66256220d8eacfbd6b6108f9","Conference paper","Final","","Scopus","2-s2.0-85111081066"
"Zhao Y.; Liu Y.; Feng J.; Guo J.; Zhang L.","Zhao, Yuan (57831865600); Liu, Yongkui (36834231200); Feng, Jianyong (57832034900); Guo, Jinwei (35188796800); Zhang, Lin (57225060074)","57831865600; 36834231200; 57832034900; 35188796800; 57225060074","A framework for development of digital twin industrial robot production lines based on a mechatronics approach","2022","International Journal of Modeling, Simulation, and Scientific Computing","","","2341025","","","","2","10.1142/S1793962323410258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135482043&doi=10.1142%2fS1793962323410258&partnerID=40&md5=7778bb2f70f267aa2dcd5b073c9e3b00","Article","Article in press","","Scopus","2-s2.0-85135482043"
"Eyre J.M.; Lanyon-Hogg M.R.; Dodd T.J.; Lockwood A.J.; Freeman C.; Scott R.W.","Eyre, Jonathan M. (57205534722); Lanyon-Hogg, Mr Richard (57205527796); Dodd, Tony J. (56265883300); Lockwood, Aiden J. (25641399600); Freeman, Chris (57550909400); Scott, Rab W. (57674926100)","57205534722; 57205527796; 56265883300; 25641399600; 57550909400; 57674926100","Demonstration of an industrial framework for an implementation of a process digital twin","2018","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","2","","","","","","14","10.1115/IMECE2018-87361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060387090&doi=10.1115%2fIMECE2018-87361&partnerID=40&md5=2b85070ecb0a124349f22707f89b9046","Conference paper","Final","","Scopus","2-s2.0-85060387090"
"Metallidou C.; Psannis K.E.; Vergados D.D.; Dossis M.","Metallidou, Chrysi (57216506437); Psannis, Kostas E. (14061014300); Vergados, Dimitrios D. (57562722700); Dossis, Michael (6507351263)","57216506437; 14061014300; 57562722700; 6507351263","Digital Twin and Industrial Internet of Things Architecture to Reduce Carbon Emissions","2022","2022 4th International Conference on Computer Communication and the Internet, ICCCI 2022","","","","185","189","4","0","10.1109/ICCCI55554.2022.9850248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137073549&doi=10.1109%2fICCCI55554.2022.9850248&partnerID=40&md5=590bfe40bb56275bc0f1da08089305cb","Conference paper","Final","","Scopus","2-s2.0-85137073549"
"Ugarte M.; Etxeberria L.; Unamuno G.; Bellanco J.L.; Ugalde E.","Ugarte, Miriam (57566475800); Etxeberria, Leire (13105885100); Unamuno, Gorka (56166698300); Bellanco, Jose Luis (57566676300); Ugalde, Eneko (57565493800)","57566475800; 13105885100; 56166698300; 57566676300; 57565493800","Implementation of Digital Twin-based Virtual Commissioning in Machine Tool Manufacturing","2022","Procedia Computer Science","200","","","527","536","9","4","10.1016/j.procs.2022.01.250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127781751&doi=10.1016%2fj.procs.2022.01.250&partnerID=40&md5=999512e01802349f80df592a990cb2aa","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127781751"
"Souza V.; Cruz R.; Silva W.; Lins S.; Lucena V., Jr.","Souza, Vinicius (57211366780); Cruz, Robson (57208109620); Silva, Walmir (57210712102); Lins, Sidney (57208106836); Lucena, Vicente (15021696900)","57211366780; 57208109620; 57210712102; 57208106836; 15021696900","A Digital Twin Architecture Based on the Industrial Internet of Things Technologies","2019","2019 IEEE International Conference on Consumer Electronics, ICCE 2019","","","8662081","","","","51","10.1109/ICCE.2019.8662081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063782240&doi=10.1109%2fICCE.2019.8662081&partnerID=40&md5=8fc00f2ea1a07afdb443d6b91bc67518","Conference paper","Final","","Scopus","2-s2.0-85063782240"
"Kousi N.; Gkournelos C.; Aivaliotis S.; Giannoulis C.; Michalos G.; Makris S.","Kousi, Niki (57189303216); Gkournelos, Christos (57195806032); Aivaliotis, Sotiris (57194155764); Giannoulis, Christos (55921475300); Michalos, George (23470225500); Makris, Sotiris (12241673400)","57189303216; 57195806032; 57194155764; 55921475300; 23470225500; 12241673400","Digital twin for adaptation of robots' behavior in flexible robotic assembly lines","2019","Procedia Manufacturing","28","","","121","126","5","120","10.1016/j.promfg.2018.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071655549&doi=10.1016%2fj.promfg.2018.12.020&partnerID=40&md5=2b9ae006a66dca4d715f8cbd80c386bd","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85071655549"
"Farhadi A.; Lee S.K.H.; Hinchy E.P.; O’Dowd N.P.; McCarthy C.T.","Farhadi, Ahmad (57926927600); Lee, Stephen K. H. (57219626723); Hinchy, Eoin P. (57190956036); O’Dowd, Noel P. (57191271824); McCarthy, Conor T. (7202119541)","57926927600; 57219626723; 57190956036; 57191271824; 7202119541","The Development of a Digital Twin Framework for an Industrial Robotic Drilling Process","2022","Sensors","22","19","7232","","","","2","10.3390/s22197232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139812001&doi=10.3390%2fs22197232&partnerID=40&md5=631489f0dc960b34c5760f0a288673ba","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85139812001"
"Niermann D.; Petzoldt C.; Dörnbach T.; Isken M.; Freitag M.","Niermann, Dario (57215779305); Petzoldt, Christoph (57211169419); Dörnbach, Tobias (57751946600); Isken, Melvin (54403155000); Freitag, Michael (8616327000)","57215779305; 57211169419; 57751946600; 54403155000; 8616327000","Towards a Novel Software Framework for the Intuitive Generation of Process Flows for Multiple Robotic Systems","2022","Procedia CIRP","107","","","137","142","5","5","10.1016/j.procir.2022.04.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132295289&doi=10.1016%2fj.procir.2022.04.023&partnerID=40&md5=669907c0c6de7eb3d5aebfd49d83e9f0","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132295289"
"Xu L.; de Vrieze P.; Lu X.; Wang W.","Xu, Lai (55507867000); de Vrieze, Paul (27667589200); Lu, Xin (56288743100); Wang, Wei (57193331708)","55507867000; 27667589200; 56288743100; 57193331708","Digital Twins Approach for Sustainable Industry","2022","Lecture Notes in Business Information Processing","451","","","126","134","8","4","10.1007/978-3-031-07478-3_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131296285&doi=10.1007%2f978-3-031-07478-3_11&partnerID=40&md5=dd2a75cba326661476223d95942271c9","Book chapter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85131296285"
"Kuts V.; Marvel J.A.; Aksu M.; Pizzagalli S.L.; Sarkans M.; Bondarenko Y.; Otto T.","Kuts, Vladimir (57198728611); Marvel, Jeremy A. (35074587400); Aksu, Murat (57195229251); Pizzagalli, Simone L. (57203010789); Sarkans, Martinš (35327913300); Bondarenko, Yevhen (57208426771); Otto, Tauno (25122691600)","57198728611; 35074587400; 57195229251; 57203010789; 35327913300; 57208426771; 25122691600","Digital Twin as Industrial Robots Manipulation Validation Tool","2022","Robotics","11","5","113","","","","1","10.3390/robotics11050113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140630782&doi=10.3390%2frobotics11050113&partnerID=40&md5=4d65665d6641f9534a6aed0cdd8b7b90","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140630782"
"Barth L.; Schweiger L.; Galeno G.; Schaal N.; Ehrat M.","Barth, Linard (57219172708); Schweiger, Lukas (57219728156); Galeno, Gianluca (57205616014); Schaal, Nikolas (58169248600); Ehrat, Matthias (55930187200)","57219172708; 57219728156; 57205616014; 58169248600; 55930187200","Value Creation with Digital Twins: Application-Oriented Conceptual Framework and Case Study","2023","Applied Sciences (Switzerland)","13","6","3511","","","","0","10.3390/app13063511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151514485&doi=10.3390%2fapp13063511&partnerID=40&md5=acd27e865f756c658e58e349961f6843","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151514485"
"Sharotry A.; Jimenez J.; Wierschem D.; Mendez F.; Koutitas G.; Valles D.; Aslan S.; Koldenhoven R.M.","Sharotry, Abhimanyu (57217043145); Jimenez, Jesus (7402489247); Wierschem, David (9334268100); Mendez, Francis (24537445900); Koutitas, George (12805267000); Valles, Damian (55546860600); Aslan, Semih (35188556200); Koldenhoven, R.M. (57105680000)","57217043145; 7402489247; 9334268100; 24537445900; 12805267000; 55546860600; 35188556200; 57105680000","A digital twin framework of a material handling operator in industry 4.0 environments","2020","Interconnected Supply Chains in an Era of Innovation - Proceedings of the 8th International Conference on Information Systems, Logistics and Supply Chain, ILS 2020","","","","45","52","7","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085959747&partnerID=40&md5=6b99bbb01824f8ccd2a6e056319a3b6e","Conference paper","Final","","Scopus","2-s2.0-85085959747"
"Guerra-Zubiaga D.; Kamperman K., II; Aw M.","Guerra-Zubiaga, David (23060428300); Kamperman, Kevin (57222072710); Aw, Mohamed (57222064547)","23060428300; 57222072710; 57222064547","Virtual commissioning for advanced manufacturing using digital tools","2020","ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","2B-2020","","","","","","1","10.1115/IMECE2020-23335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101253115&doi=10.1115%2fIMECE2020-23335&partnerID=40&md5=d8567a09c6cdc632473cfd6c7a10fc37","Conference paper","Final","","Scopus","2-s2.0-85101253115"
"Viola J.; Chen Y.","Viola, Jairo (55832429500); Chen, YangQuan (7601439185)","55832429500; 7601439185","Digital Twin Enabled Smart Control Engineering as an Industrial AI: A New Framework and Case Study","2020","2nd International Conference on Industrial Artificial Intelligence, IAI 2020","","","9262203","","","","17","10.1109/IAI50351.2020.9262203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098487104&doi=10.1109%2fIAI50351.2020.9262203&partnerID=40&md5=9a2a1ed4e53658e771e40674f3ec4dea","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85098487104"
